var,pais,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021
pov31,MEX,NA,34.005,30.795,27.584,25.793,24.002,22.313,20.624,21.348,17.054,18.46,19.866,19.619,19.372,19.133,18.895,18.168,17.441,14.964,12.487,11.837,11.186,12.35,13.513,14.584
pov31,NIC,NA,51.24,53.209,49.438,45.666,45.389,45.111,44.834,44.556,43.875,43.195,42.514,41.833,35.314,31.888,29.516,31.106,32.697,32.921,33.054,33.38,38.285,51.352,49.849,41.069
pov31,PAN,21.414,21.266,19.444,20.266,25.463,22.889,21.912,21.642,21.906,21.688,19.107,18.774,17.208,16.884,14.949,11.442,12.602,11.157,11.317,9.668,9.162,9.405,9.386,12.93,16.721
pov31,PER,32.015,33.408,30.382,29.37,34.169,30.376,29.549,30.18,32.97,30.267,24,20.853,14.534,12.651,14.106,13.602,12.518,11.435,11.084,10.797,10.827,9.193,8.217,28.189,30.774
pov31,PRY,NA,26.504,25.054,25.796,26.538,33.75,27.551,24.137,20.34,25.932,20.276,20.222,18.907,17.992,17.165,17.534,12.516,12.098,12.604,14.567,13.41,11.485,11.78,8.349,7.809
pov31,SLV,33.91,31.898,29.757,29.525,29.849,29.253,26.518,26.602,31.266,26.056,22.605,25.612,25.738,25.592,24.622,22.946,20.047,19.787,17.287,17.988,15.803,14.07,11.995,16.472,18.908
pov31,URY,4.122,3.895,3.344,3.567,5.296,7.114,8.487,10.25,9.698,6.598,7.102,3.536,4.409,3.463,3.213,3.413,2.944,2.762,3.034,2.867,2.35,2.318,2.325,3.598,3.947
pov31,VEN,22.583,21.543,23.533,23.599,22.1,28.207,34.658,24.817,22.851,13.484,10.024,8.891,7.963,7.92,8.326,8.414,7.762,6.192,8.6,19.398,45.881,78.574,83.440498,88.307,72.48
pov31,LAC,26.7,28.5,28.4,27.8,27.6,27.3,26.8,25.1,23.6,20.7,19,18,17.3,16.4,15.5,14.5,13.6,12.7,12.8,12.9,13.9,15.4,15.9,20.1,20.7
pov50,PAN,35.004,34.694,33.048,33.632,39.111,36.555,35.126,34.646,35.318,34.751,31.286,29.682,28.62,26.697,25.615,21.135,21.798,19.661,19.709,17.336,16.547,15.869,15.73,18.34,30.995
